tmr/fid,tmr/tmr_score,tmr/precision,tmr/recall,tmr/density,tmr/coverage,tmr/R1,tmr/R2,tmr/R3
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.024745013564825058,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.0,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
1024.916015625,0.10195936262607574,0.784375,0.0140625,0.596875,0.2171875,0.0031250000465661287,0.0078125,0.010937499813735485
